id:INTEGER,publisher,genres,coop,name,timestamp:INTEGER,system,releaseDate,players,reviewRating,esrbRating,developer
73,null,null,No,Bakugan Battle Brawlers,,Microsoft Xbox 360,null,null,0 / 10,null,null
74,RedOctane,Music,Yes,Band Hero,1257206400,Microsoft Xbox 360,11/3/09,4,0 / 10,null,Neversoft
75,null,Platform,No,BanjoKazooie,1228262400,Microsoft Xbox 360,12/3/08,null,0 / 10,Everyone,4J Studios
76,null,null,No,BanjoKazooie Nuts Bolts,1226361600,Microsoft Xbox 360,11/11/08,null,10-Mar,Everyone 10+,null
77,null,Platform,No,BanjoTooie,1240963200,Microsoft Xbox 360,4/29/09,4,0 / 10,Everyone,4J Studios
78,Warner Bros. Interactive Entertainment,"Action, Adventure",No,Bastion,1311120000,Microsoft Xbox 360,7/20/11,1,0 / 10,Everyone 10+,Supergiant Games
79,Eidos Interactive,"Action, Adventure, Fighting, Stealth",No,Batman Arkham Asylum,1251158400,Microsoft Xbox 360,8/25/09,1,10-Sep,Teen,Rocksteady Studios Ltd
80,Warner Bros. Interactive,Action,No,Batman Arkham Asylum Game of the Year Edition,1273536000,Microsoft Xbox 360,5/11/10,1,0 / 10,Teen,Rocksteady Studios
81,WB Games,"Action, Adventure, Fighting, Stealth",No,Batman Arkham City,1318896000,Microsoft Xbox 360,10/18/11,1,0 / 10,Teen,Rocksteady Studios Ltd
82,Warner Bros. Interactive Entertainment,"Action, Adventure, Stealth",No,Batman Arkham City Game of the Year Edition,1338249600,Microsoft Xbox 360,5/29/12,1,0 / 10,Teen,Rocksteady Studios
83,Warner Bros. Interactive Entertainment,null,No,Batman Arkham Origins,1382659200,Microsoft Xbox 360,10/25/13,1,0 / 10,Teen,WB Games Montreal
84,Wa,"Action, Adventure",No,Batman Arkham Origins Blackgate Deluxe Edition,1396310400,Microsoft Xbox 360,4/1/14,1,0 / 10,Teen,Armature Studios
85,Aksys Games,Fighting,No,Battle Fantasia,1221523200,Microsoft Xbox 360,9/16/08,2,0 / 10,Teen,Arc System Works
86,null,Shooter,No,Battle Los Angeles,1299801600,Microsoft Xbox 360,3/11/11,null,0 / 10,Teen,Saber Interactive
87,Microsoft Studios,Platform,Yes,Battleblock Theater,1364947200,Microsoft Xbox 360,4/3/13,4,10-Jul,Teen,The Behemoth
88,Electronic Arts,Shooter,No,Battlefield 1943,1247011200,Microsoft Xbox 360,7/8/09,4,0 / 10,Teen,DICE Stockholm
89,Electronic Arts,Shooter,No,Battlefield 2 Modern Combat,1144713600,Microsoft Xbox 360,4/11/06,null,0 / 10,Teen,Electronic Arts
90,Electronic Arts,null,No,Battlefield 3,1319500800,Microsoft Xbox 360,10/25/11,null,10-Jul,null,Electronic Arts
91,Electronic Arts,Shooter,Yes,Battlefield 4,1383004800,Microsoft Xbox 360,10/29/13,4,0 / 10,Mature,DICE
92,Electronic Arts,"Action, Shooter",No,Battlefield Bad Company,1214179200,Microsoft Xbox 360,6/23/08,4,0 / 10,Teen,DICE
93,null,"Action, Shooter",No,Battlefield Bad Company 2,1267488000,Microsoft Xbox 360,3/2/10,null,10-Sep,null,null
94,null,null,null,Battlefield Bad Company 2 Ultimate Edition,,Microsoft Xbox 360,null,null,0 / 10,null,null
95,null,null,No,Battleship,1337040000,Microsoft Xbox 360,5/15/12,null,0 / 10,null,null
96,Eidos Interactive,Strategy,No,Battlestations Midway,1170115200,Microsoft Xbox 360,1/30/07,null,0 / 10,Teen,Eidos Interactive
97,Eidos,Action,No,Battlestations Pacific,1242086400,Microsoft Xbox 360,5/12/09,1,0 / 10,null,Eidos Hungary
98,Sega,Action,No,Bayonetta,1262649600,Microsoft Xbox 360,1/5/10,1,10-Aug,Mature,Platinumgames Inc
99,Namco Bandai,Action,No,Beautiful Katamari,1192406400,Microsoft Xbox 360,10/15/07,4,0 / 10,Everyone,Namco Bandai
100,Activision,"Action, Adventure",Yes,Bee Movie Game,1193702400,Microsoft Xbox 360,10/30/07,2,0 / 10,Everyone,Beenox
101,Sega,null,No,Beijing 2008,1215475200,Microsoft Xbox 360,7/8/08,null,0 / 10,Everyone,null
102,Popcap,Puzzle,No,Bejeweled 3,1321315200,Microsoft Xbox 360,11/15/11,2,10-Aug,Everyone,Popcap
103,null,null,No,Bellator MMA Onslaught,1341360000,Microsoft Xbox 360,7/4/12,null,10-Apr,Teen,null
104,D3Publisher,null,No,Ben 10 Galactic Racing,1318896000,Microsoft Xbox 360,10/18/11,null,0 / 10,Everyone,null
105,D3Publisher,null,No,Ben 10 Omniverse,1352764800,Microsoft Xbox 360,11/13/12,null,0 / 10,Everyone 10+,null
106,null,null,No,Ben 10 Ultimate Alien Cosmic Destruction,1287446400,Microsoft Xbox 360,10/19/10,null,0 / 10,Everyone 10+,null
107,null,Action,No,Beowulf The Game,1194912000,Microsoft Xbox 360,11/13/07,1,0 / 10,Mature,Ubisoft Shanghai
108,Ubisoft,"Action, Adventure",No,Beyond Good Evil HD,1299024000,Microsoft Xbox 360,3/2/11,1,0 / 10,Teen,Ubisoft Shanghai
109,null,null,No,Big Bumpin,1163894400,Microsoft Xbox 360,11/19/06,null,0 / 10,Everyone,null
110,null,null,No,Big League Sports,1320710400,Microsoft Xbox 360,11/8/11,null,0 / 10,null,null
111,Sega,"Action, Shooter, Strategy",No,Binary Domain,1330387200,Microsoft Xbox 360,2/28/12,1,10-May,Mature,Yakuza Studio
112,Capcom,Action,No,Bionic Commando 2009,1242950400,Microsoft Xbox 360,5/22/09,1,0 / 10,null,Grin
113,null,null,No,Bionic Commando Rearmed 2,1296604800,Microsoft Xbox 360,2/2/11,null,0 / 10,Teen,null
114,null,null,No,Bionic Commando Rearmed,1218585600,Microsoft Xbox 360,8/13/08,null,0 / 10,Mature,null
115,2K Games,Shooter,No,BioShock,1187654400,Microsoft Xbox 360,8/21/07,1,10-Sep,Mature,Irrational Games
116,2K Games,Shooter,No,Bioshock 2,1265673600,Microsoft Xbox 360,2/9/10,1,0 / 10,Mature,"2K Marin, 2K China"
117,null,"Horror, Shooter",No,BioShock 2 Special Edition,1265673600,Microsoft Xbox 360,2/9/10,1,10-Aug,Mature,null
118,2K Games,"Action, Adventure, Shooter",No,BioShock Infinite,1364256000,Microsoft Xbox 360,3/26/13,1,0 / 10,Mature,Irrational Games
119,null,null,null,BioShock Infinite Burial at Sea,,Microsoft Xbox 360,null,null,0 / 10,null,null
120,null,null,No,Birds of Steel,1331596800,Microsoft Xbox 360,3/13/12,null,0 / 10,null,null
121,Aksys Games,"Music, Platform",No,BITTRIP Presents Runner 2 Future Legend of Rhythm Alien,1362441600,Microsoft Xbox 360,3/5/13,1,10-Jun,null,Gaijin
122,Aspyr Media,Sports,No,Black College Football The Xperience,1254182400,Microsoft Xbox 360,9/29/09,null,0 / 10,Everyone,Nerjyzed Entertainment
123,null,null,No,Blacklight Tango Down,1279065600,Microsoft Xbox 360,7/14/10,null,0 / 10,Teen,null
124,null,null,No,BlackSite Area 51,1194825600,Microsoft Xbox 360,11/12/07,null,0 / 10,null,null
125,null,null,No,Blackwater,1383264000,Microsoft Xbox 360,11/1/13,null,10-Jul,null,null
126,Konami,Action,No,Blades of Time,1330992000,Microsoft Xbox 360,3/6/12,1,0 / 10,null,Gaijin Entertainment
127,KOEI,Strategy,No,Bladestorm The Hundred Years War,1194307200,Microsoft Xbox 360,11/6/07,1,10-Jul,Teen,Omega Force
128,Aksys Games,Fighting,No,BlazBlue Calamity Trigger,1246320000,Microsoft Xbox 360,6/30/09,2,0 / 10,Teen,Arc System Works
129,Aksys Games,Fighting,No,BlazBlue Continuum Shift,1280188800,Microsoft Xbox 360,7/27/10,2,0 / 10,Teen,Arc System Works
130,Aksys,Fighting,No,Blazblue Continuum Shift Extend,1329177600,Microsoft Xbox 360,2/14/12,2,0 / 10,null,Arc System Works
131,Ubisoft,"Action, Flight Simulator, Shooter",No,Blazing Angels 2 Secret Missions of WWII,1190073600,Microsoft Xbox 360,9/18/07,1,0 / 10,Teen,Ubisoft Romania
132,Ubisoft,Flight Simulator,No,Blazing Angels Squadrons of WWII,1174348800,Microsoft Xbox 360,3/20/07,1,0 / 10,Teen,Ubisoft
133,Midway Games,Sports,No,Blitz The League,1129507200,Microsoft Xbox 360,10/17/05,null,0 / 10,Mature,Midway Games
134,Midway Games,null,No,Blitz The League II,1223856000,Microsoft Xbox 360,10/13/08,null,0 / 10,Mature,Midway Games
135,Southpeak,Strategy,No,Blood Bowl,1264464000,Microsoft Xbox 360,1/26/10,1,10-Oct,Teen,Cyanide
136,Activision Value Publishing Inc.,Racing,No,Blood Drive,1288656000,Microsoft Xbox 360,11/2/10,4,0 / 10,Mature,Sidhe Interactive
137,Microsoft,Role-Playing,No,Blue Dragon,1188259200,Microsoft Xbox 360,8/28/07,1,10-Jul,Teen,Mistwalker
138,Activision,Racing,No,Blur,1274745600,Microsoft Xbox 360,5/25/10,4,0 / 10,Everyone 10+,Bizarre Creations
139,null,null,No,Body and Brain Connection,1297123200,Microsoft Xbox 360,2/8/11,null,0 / 10,null,null
140,null,null,No,Bodycount,1314662400,Microsoft Xbox 360,8/30/11,null,0 / 10,null,null
141,Disney Interactive Studios,Platform,No,Bolt,1226966400,Microsoft Xbox 360,11/18/08,null,0 / 10,Everyone 10+,Avalanche Software
142,null,Puzzle,No,Bomberman Live,1184716800,Microsoft Xbox 360,7/18/07,4,0 / 10,Everyone,Backbone Entertainment
143,Konami,Action,No,Bomberman Act Zero,1156809600,Microsoft Xbox 360,8/29/06,null,0 / 10,Teen,Hudson Entertainment Inc.
144,null,Music,No,Boom Boom Rocket,1176249600,Microsoft Xbox 360,4/11/07,2,0 / 10,Everyone,Bizarre Creations
145,2K Games,"Role-Playing, Shooter",Yes,Borderlands,1255996800,Microsoft Xbox 360,10/20/09,4,0 / 10,Mature,Gearbox Software
146,null,"Role-Playing, Sandbox, Shooter",Yes,Borderlands Game of the Year Edition,1286841600,Microsoft Xbox 360,10/12/10,4,0 / 10,Mature,null
147,2K Games,"Role-Playing, Shooter",Yes,Borderlands 2,1347926400,Microsoft Xbox 360,9/18/12,4,0 / 10,null,Gearbox Software
148,2K Games,null,Yes,Borderlands 2 AddOn Content Pack,1361836800,Microsoft Xbox 360,2/26/13,null,0 / 10,Mature,Gearbox
149,2K Games,"Action, Adventure, Sandbox, Shooter",Yes,Borderlands 2 Game of the Year,1381190400,Microsoft Xbox 360,10/8/13,4,0 / 10,Mature,Gearbox Software
150,2k,Shooter,No,Borderlands The PreSequel,1413504000,Microsoft Xbox 360,10/17/14,1,0 / 10,null,Gearbox
151,Focus Home Interactive,"Action, Adventure, Role-Playing",No,Bound by Flame,1399507200,Microsoft Xbox 360,5/8/14,1,0 / 10,null,Spiders
152,null,"Adventure, Platform, Puzzle",No,Braid,1217980800,Microsoft Xbox 360,8/6/08,null,10-Sep,Everyone 10+,null
153,Disney Interactive Studios,Action,No,Brave The Video Game,1340064000,Microsoft Xbox 360,6/19/12,null,0 / 10,Everyone 10+,null
154,Bethesda,Shooter,No,Brink,1304985600,Microsoft Xbox 360,5/10/11,null,0 / 10,null,Splash Damage
155,null,null,No,Brothers in Arms Hells Highway,1222128000,Microsoft Xbox 360,9/23/08,null,0 / 10,Mature,null
156,505 Games,"Action, Puzzle",No,Brothers a Tale of Two Sons,1375574400,Microsoft Xbox 360,8/4/13,1,0 / 10,Teen,Starbreeze Studios
157,null,null,No,Brtal Legend,1255392000,Microsoft Xbox 360,10/13/09,null,0 / 10,null,null
158,null,Shooter,Yes,Bullet Soul Infinite Burst,,Microsoft Xbox 360,null,2,0 / 10,null,null
159,null,null,No,Bullet Witch,1172534400,Microsoft Xbox 360,2/27/07,null,0 / 10,null,null
160,Electronic Arts,"Action, Shooter",Yes,Bulletstorm,1298332800,Microsoft Xbox 360,2/22/11,null,0 / 10,Mature,People Can Fly
161,Rockstar,null,No,Bully Scholarship Edition,1204588800,Microsoft Xbox 360,3/4/08,1,10-Aug,Teen,Rockstar
162,Electronic Arts,Racing,Yes,Burnout Paradise,1200960000,Microsoft Xbox 360,1/22/08,4,0 / 10,Everyone 10+,Criterion
163,EA,Racing,No,Burnout Revenge,1126569600,Microsoft Xbox 360,9/13/05,null,0 / 10,Everyone 10+,EA
164,Activision Value,"Action, Sports",No,Cabelas Adventure Camp,1351728000,Microsoft Xbox 360,11/1/12,null,0 / 10,Everyone,null
165,null,null,No,Cabelas African Safari,1164067200,Microsoft Xbox 360,11/21/06,null,0 / 10,Teen,null
166,Activision Value,Life Simulation,No,Cabelas Alaskan Adventures,1158624000,Microsoft Xbox 360,9/19/06,1,10-Apr,Teen,FUN Labs
167,null,null,No,Cabelas Big Game Hunter,1194307200,Microsoft Xbox 360,11/6/07,null,0 / 10,null,null
168,null,null,No,Cabelas Big Game Hunter 2010,1254182400,Microsoft Xbox 360,9/29/09,null,0 / 10,null,null
169,Activision,null,No,Cabelas Big Game Hunter 2012,1317081600,Microsoft Xbox 360,9/27/11,null,0 / 10,Teen,null
170,Activision,null,No,Cabelas Big Game Hunter Hunting Party,1320105600,Microsoft Xbox 360,11/1/11,null,0 / 10,Teen,Activision
171,Activision,Sports,No,Cabelas Dangerous Hunts 2011,1287446400,Microsoft Xbox 360,10/19/10,1,0 / 10,Teen,null
172,Activision,"Action, Adventure, Shooter",Yes,Cabelas Dangerous Hunts 2013,1350950400,Microsoft Xbox 360,10/23/12,2,0 / 10,Teen,null
173,Activision,Sports,No,Cabelas North American Adventure,1283817600,Microsoft Xbox 360,9/7/10,1,0 / 10,Teen,Fun Labs
174,Activision,null,No,Cabelas Outdoor Adventures,1252454400,Microsoft Xbox 360,9/9/09,null,0 / 10,Teen,null
175,null,null,No,Cabelas Survival Shadows of Katmai,1320105600,Microsoft Xbox 360,11/1/11,null,0 / 10,null,null
176,null,null,No,Cabelss Trophy Bucks,1190160000,Microsoft Xbox 360,9/19/07,null,0 / 10,null,null
177,Activision,null,No,Call of Duty 2,1130198400,Microsoft Xbox 360,10/25/05,null,0 / 10,Teen,Infinity Ward
178,Activision,Shooter,No,Call of Duty 3,1162857600,Microsoft Xbox 360,11/7/06,null,0 / 10,Teen,Treyarch
179,Activision,Shooter,No,Call of Duty 4 Modern Warfare,1194220800,Microsoft Xbox 360,11/5/07,null,10-Sep,Mature,Infinity Ward
180,Activision,Shooter,No,Call of Duty Modern Warfare 3 Hardened Edition,1320710400,Microsoft Xbox 360,11/8/11,null,0 / 10,Mature,"Infinity Ward, Sledgehammer Games"
181,Activision,"Action, Shooter",Yes,Call of Duty Advanced Warfare,1414972800,Microsoft Xbox 360,11/3/14,4,0 / 10,Mature,Activision
