date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-04-26,21:47:00,27.65,85.97,POINT(85.97 27.65),4,Dolakha
2015-04-26,20:42:00,28.31,84.97,POINT(84.97 28.31),4.5,Gorkha
2015-04-26,20:29:00,27.72,85.97,POINT(85.97 27.72),4.5,Sindhupalchowk
2015-04-26,20:17:00,27.79,85.15,POINT(85.15 27.79),4,Nuwakot
2015-04-26,19:08:00,27.68,85.95,POINT(85.95 27.68),4,Sindhupalchowk/Dolakha
2015-04-26,18:56:00,27.89,85.6,POINT(85.6 27.89),5,Sindhupalchowk
2015-04-26,15:27:00,27.77,85.91,POINT(85.91 27.77),4.5,Sindhupalchowk
2015-04-26,14:31:00,27.97,85.81,POINT(85.81 27.97),4.5,Sindhupalchowk
2015-05-26,18:39:00,27.71,86.05,POINT(86.05 27.71),4.1,Dolakha
2015-04-26,14:25:00,27.79,86,POINT(86 27.79),4.8,Sindhupalchowk
2015-04-26,13:22:00,27.94,86.05,POINT(86.05 27.94),5,Sindhupalchowk/Tibet
2015-04-26,13:12:00,27.75,85.94,POINT(85.94 27.75),5.3,Sindhupalchowk
2015-04-26,12:54:00,27.84,86.05,POINT(86.05 27.84),6.9,Sindhupalchowk/Dolakha
2015-04-26,10:43:00,28.26,85.02,POINT(85.02 28.26),4.8,Gorkha/Dhading
2015-04-26,10:35:00,28.04,85.5,POINT(85.5 28.04),4.5,Sindhupalchowk
2015-04-26,09:06:00,27.64,85.63,POINT(85.63 27.64),5,Kavrepalanchowk
2015-04-26,08:55:00,27.8,85.16,POINT(85.16 27.8),5.1,Nuwakot
2015-04-26,08:43:00,28.32,84.73,POINT(84.73 28.32),4.5,Gorkha
2015-04-26,06:16:00,27.84,85.12,POINT(85.12 27.84),4,Nuwakot
2015-05-26,17:48:00,27.63,86.3,POINT(86.3 27.63),4.1,Dolakha
2015-04-26,06:00:00,27.67,85.28,POINT(85.28 27.67),4,Kathmandu
2015-04-26,05:32:00,28.05,85.34,POINT(85.34 28.05),4,Rasuwa
2015-04-26,05:26:00,27.67,86.07,POINT(86.07 27.67),4.5,Dolakha
2015-04-26,05:25:00,27.69,85.25,POINT(85.25 27.69),4,Kathmandu
2015-04-26,05:01:00,27.99,85.02,POINT(85.02 27.99),5.5,Nuwakot
2015-04-26,02:52:00,27.82,85.8,POINT(85.8 27.82),4.8,Sindhupalchowk
2015-04-26,02:49:00,27.98,84.99,POINT(84.99 27.98),4,Gorkha
2015-04-26,02:17:00,27.6,85.96,POINT(85.96 27.6),4.8,Sindhupalchowk
2015-04-26,02:14:00,28.24,84.82,POINT(84.82 28.24),4.3,Gorkha
